match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Delhi Capitals v Kolkata Knight Riders,NA,Head To Head,Delhi Capitals,2.01,Kolkata Knight Riders,1.77,1.062,Sportsbet
New Zealand Women v England Women,NA,Head To Head,New Zealand Women,4,England Women,1.25,1.05,Sportsbet
Gujarat Titans v Punjab Kings,NA,Head To Head,Gujarat Titans,1.73,Punjab Kings,2.07,1.061,Sportsbet
Sunrisers Hyderabad v Chennai Super Kings,NA,Head To Head,Sunrisers Hyderabad,1.99,Chennai Super Kings,1.79,1.061,Sportsbet
Rajasthan Royals v Royal Challengers Bangalore,NA,Head To Head,Rajasthan Royals,1.79,Royal Challengers Bangalore,1.99,1.061,Sportsbet
