match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Rohit Sharma,Mumbai Indians,Sunrisers Hyderabad,25.5,1.87,1.87,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Mayank Agarwal,Sunrisers Hyderabad,Mumbai Indians,19.5,1.87,1.87,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Tilak Varma,Mumbai Indians,Sunrisers Hyderabad,19.5,1.73,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Aiden Markram,Sunrisers Hyderabad,Mumbai Indians,19.5,1.7,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Ishan Kishan,Mumbai Indians,Sunrisers Hyderabad,19.5,1.7,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Abhishek Sharma,Sunrisers Hyderabad,Mumbai Indians,19.5,2,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Rohit Sharma,Mumbai Indians,Sunrisers Hyderabad,19.5,1.6400000000000001,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Hardik Pandya,Mumbai Indians,Sunrisers Hyderabad,19.5,1.92,1.87,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Rahul Tripathi,Sunrisers Hyderabad,Mumbai Indians,19.5,1.88,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Heinrich Klaasen,Sunrisers Hyderabad,Mumbai Indians,19.5,1.62,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Naman Dhir,Mumbai Indians,Sunrisers Hyderabad,19.5,2,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Mayank Agarwal,Sunrisers Hyderabad,Mumbai Indians,19.5,1.98,1.87,Neds
Lucknow Super Giants v Punjab Kings,Lucknow Super Giants,Punjab Kings,Player Runs,Ayush Badoni,Lucknow Super Giants,Punjab Kings,13.5,1.87,1.87,Neds
Rajasthan Royals v Delhi Capitals,Rajasthan Royals,Delhi Capitals,Player Runs,Shai Hope,Delhi Capitals,Rajasthan Royals,18.5,1.87,1.87,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Player Runs,Rahul Tripathi,Sunrisers Hyderabad,Mumbai Indians,29.5,2.45,NA,Neds
