match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,under_price,agency
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Rahul Tripathi,Sunrisers Hyderabad,Mumbai Indians,0.5,1.42,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Rohit Sharma,Mumbai Indians,Sunrisers Hyderabad,0.5,1.32,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Aiden Markram,Sunrisers Hyderabad,Mumbai Indians,0.5,1.35,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Heinrich Klaasen,Sunrisers Hyderabad,Mumbai Indians,0.5,1.32,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Travis Michael Head,NA,NA,0.5,1.42,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Abhishek Sharma,Sunrisers Hyderabad,Mumbai Indians,0.5,1.48,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Dewald Brevis,Mumbai Indians,Sunrisers Hyderabad,0.5,1.48,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Ishan Kishan,Mumbai Indians,Sunrisers Hyderabad,0.5,1.33,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Mayank Agarwal,Sunrisers Hyderabad,Mumbai Indians,0.5,1.46,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Naman Dhir,Mumbai Indians,Sunrisers Hyderabad,0.5,1.46,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Hardik Pandya,Mumbai Indians,Sunrisers Hyderabad,0.5,1.42,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Tilak Varma,Mumbai Indians,Sunrisers Hyderabad,0.5,1.35,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Dewald Brevis,Mumbai Indians,Sunrisers Hyderabad,1.5,2.05,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Naman Dhir,Mumbai Indians,Sunrisers Hyderabad,1.5,2,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Glenn Phillips,Sunrisers Hyderabad,Mumbai Indians,1.5,2.3,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Ishan Kishan,Mumbai Indians,Sunrisers Hyderabad,1.5,1.73,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Tilak Varma,Mumbai Indians,Sunrisers Hyderabad,1.5,1.77,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Travis Michael Head,NA,NA,1.5,1.92,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Heinrich Klaasen,Sunrisers Hyderabad,Mumbai Indians,1.5,1.6800000000000002,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Rahul Tripathi,Sunrisers Hyderabad,Mumbai Indians,1.5,1.94,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Mayank Agarwal,Sunrisers Hyderabad,Mumbai Indians,1.5,2.02,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Abhishek Sharma,Sunrisers Hyderabad,Mumbai Indians,1.5,2.05,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Hardik Pandya,Mumbai Indians,Sunrisers Hyderabad,1.5,1.95,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Aiden Markram,Sunrisers Hyderabad,Mumbai Indians,1.5,1.75,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Rohit Sharma,Mumbai Indians,Sunrisers Hyderabad,1.5,1.6800000000000002,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Rahul Tripathi,Sunrisers Hyderabad,Mumbai Indians,5.5,26,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Travis Michael Head,NA,NA,5.5,26,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Mayank Agarwal,Sunrisers Hyderabad,Mumbai Indians,5.5,31,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Ishan Kishan,Mumbai Indians,Sunrisers Hyderabad,5.5,17,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Tilak Varma,Mumbai Indians,Sunrisers Hyderabad,5.5,19,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Aiden Markram,Sunrisers Hyderabad,Mumbai Indians,5.5,17,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Rohit Sharma,Mumbai Indians,Sunrisers Hyderabad,5.5,15,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Dewald Brevis,Mumbai Indians,Sunrisers Hyderabad,5.5,41,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Abhishek Sharma,Sunrisers Hyderabad,Mumbai Indians,5.5,34,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Heinrich Klaasen,Sunrisers Hyderabad,Mumbai Indians,5.5,15,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Hardik Pandya,Mumbai Indians,Sunrisers Hyderabad,5.5,29,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 6s,Naman Dhir,Mumbai Indians,Sunrisers Hyderabad,5.5,31,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Travis Michael Head,NA,NA,3.5,3.25,NA,Neds
Sunrisers Hyderabad v Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Number of 4s,Hardik Pandya,Mumbai Indians,Sunrisers Hyderabad,3.5,3.3,NA,Neds
